Componente,Precio
Robot ABB + Celda MIG,$ 80.000.000
Fuente Fronius TPS500i,$ 26.800.000
SCADA WinCC,$ 8.900.000
Ignition SCADA (opcional),$ 12.000.000
PLC SCADAPack,$ 12.000.000
Banco de pruebas e‑bike,$ 50.000.000
Atornillador torque,$ 1.000.000
Escáner CAN,$ 2.000.000
Dispensador film,$ 1.500.000
Bandas transportadoras,$ 40.000.000
Almacenamiento FIFO con sensores,$ 15.000.000
Dispensadores automáticos (adhesivo/sellado),$ 5.000.000
Máquinas de etiquetado y marcaje láser,$ 20.000.000
Estaciones de verificación dimensional,$ 25.000.000
"Sensores (presión, ópticos, torque)",$ 10.000.000
HMI industriales,$ 12.000.000
Red de comunicación industrial,$ 6.000.000
Cámara térmica o sistema IR,$ 10.000.000
Estación de embalaje,$ 5.000.000
MES,$ 20.000.000
Base de datos industrial,$ 10.000.000
Total,$ 372.200.000
