
Componente,Cantidad,Precio Unidad,Precio total
Robot ABB 6400,1,$ 40.000.000,$ 40.000.000
Celda MIG Fronius TPS 500i,1,$ 60.000.000,$ 60.000.000
Posicionador IRP L,1,$ 8.900.000,$ 8.900.000
Controlador ABB IRC5/OmniCore,1,$ 45.000.000,$ 45.000.000
Ignition SCADA,1,$ 12.000.000,$ 12.000.000
Carrete de soldadura de Aluminio 1 kg,1,$ 121.500,$ 121.500
PLC SCADAPack,1,$ 6.500.000,$ 6.500.000
Sistema de seguridad (barreras ópticas + enclavamientos),22,$ 270.000,$ 5.940.000
Sensor de inspección de cordón (opcional),1,$ 6.750.000,$ 6.750.000
Bandas transportadoras,12,$ 4.000.000,$ 48.000.000
Motor banda transportadora,12,$ 2.000.000,$ 24.000.000
Herramientas para operarios,13,$ 2.000.000,$ 26.000.000
HMI industriales,4,$ 1.000.000,$ 4.000.000
Bancos de trabajo,9,$ 500.000,$ 4.500.000
Contenedores de almacenaje,5,$ 500.000,$ 2.500.000
Maquina de etiquetado ,1,$ 40.000.000,$ 40.000.000
Studio 5000,1,$ 18.000.000,$ 18.000.000
NX,1,$ 40.000.000,$ 40.000.000
Azure,1,$ 6.000.000,$ 6.000.000
Robotstudio,1,$ 4.000.000,$ 4.000.000
Total,,$ 297.541.500,$ 402.211.500
