Task,Semana inicial,Semanas de duración,Horas Totales,Precio de hora,Costo Actividad (COP)
Definir objetivos y alcance,1,1,48, $  43.000 , $  2.064.000 
Identificar stakeholders,1,1,48, $  20.000 , $  960.000 
Elaborar cronograma inicial,2,1,48, $  20.000 , $  960.000 
Estimar demanda anual,1,1,48, $  20.000 , $  960.000 
Planificar recursos e infraestructura,1,2,96, $  20.000 , $  1.920.000 
Planificación de capacidad,2,1,48, $  20.000 , $  960.000 
Calcular costos de inversión,3,0.5,24, $  25.000 , $  600.000 
Estimar costos operativos,3,0.5,24, $  25.000 , $  600.000 
Mapeo de flujo de valor (VSM),4,0.5,24, $  43.000 , $  1.032.000 
Modelado del gemelo digital,5,1,48, $  25.000 , $  1.200.000 
Validación y simulación digital,6,1,48, $  25.000 , $  1.200.000 
Diseño de célula robotizada,7,1,48, $  25.000 , $  1.200.000 
Selección de robot,7,1,48, $  25.000 , $  1.200.000 
Selección de software SCADA,13,1,48, $  25.000 , $  1.200.000 
Configuración inicial,8,1,48, $  27.000 , $  1.296.000 
Selección de sensores,9,1,48, $  27.000 , $  1.296.000 
Integración plataforma de datos,10,1,48, $  27.000 , $  1.296.000 
Recepción y verificación de componentes,11,1,48, $  27.000 , $  1.296.000 
Programación de robot de soldadura,12,1,48, $  27.000 , $  1.296.000 
Selección controladores industriales,12,2,96, $  27.000 , $  2.592.000 
Programación controladores,12,2,96, $  27.000 , $  2.592.000 
Integracion con sistemas SCADA,13,3,144, $  31.000 , $  4.464.000 
Configuración alarmas y reportes,14,2,96, $  31.000 , $  2.976.000 
Integración de modulos y sistemas,14,2,96, $  31.000 , $  2.976.000 
Determinación viabilidad financiera,15,1,48, $  31.000 , $  1.488.000 
