,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Item / Año,0,1,2,3,4,5,
,,Ingresos,, $  2.625.000.000 , $  5.775.000.000 , $  6.352.500.000 , $  10.481.625.000 , $  11.529.787.500 ,
,,Costo componentes,, $  1.837.500.000 , $  4.042.500.000 , $  4.446.750.000 , $  7.337.137.500 , $  8.070.851.250 ,
,,Mano de obra,, $  262.500.000 , $  577.500.000 , $  635.250.000 , $  1.048.162.500 , $  1.152.978.750 ,
,,Gastos operativos,, $  262.500.000 , $  577.500.000 , $  635.250.000 , $  1.048.162.500 , $  1.152.978.750 ,
,,Flujo neto de caja,-$  700.331.500 , $  262.500.000 , $  577.500.000 , $  635.250.000 , $  1.048.162.500 , $  1.152.978.750 ,
,,,,,,,,,
,,,,,,,,,
,,Año,Mercado abarcado,Mercado total,Unidades vendidas,,Tasa,10%,
,,1,5%,15000,750,,VNA,"$ 2.625.000.000,00",
,,2,10%,16500,1650,,VAN,"$ 1.924.668.500,00",
,,3,10%,18150,1815,,TIR,69%,
,,4,15%,19965,2995,,Payback,"2,19",
,,5,15%,21962,3294,,ROI con depreciacion,64%,
,,,,,,,Utilidad de equipo,$ 100.000.000,25%
,,,,,,,Inversión inicial,$ 700.331.500,
